つよ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,つよい,ツヨイ,ツヨイ
強	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,強い,ツヨイ,ツヨイ
かわい	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,かわいい,カワイ,カワイ
可愛	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,可愛い,カワイ,カワイ
気持ち悪	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,気持ち悪い,キモチワル,キモチワル
気持ちわる	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,気持ちわるい,キモチワル,キモチワル
うざ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,うざい,ウザ,ウザ
近	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,近い,チカ,チカ
ちか	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ちかい,チカ,チカ
古	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,古い,フル,フル
ふる	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ふるい,フル,フル
優し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,優しい,ヤサシ,ヤサカシ
やさし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,やさしい,ヤサシ,ヤサカシ
遠	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,遠い,トー,トオ
とお	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,とおい,トー,トオ
しんど	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,しんどい,シンド,シンド
辛	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,辛い,ツラ,ツラ
つら	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,つらい,ツラ,ツラ
少な	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,少ない,スクナ,スクナ
すくな	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,すくない,スクナ,スクナ
きも	形容詞,接尾,*,*,形容詞・アウオ段,基本形・縮約形,きもい,キモ,キモ
くさ	形容詞,接尾,*,*,形容詞・アウオ段,基本形・縮約形,くさい,クサ,クサ
のろ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,のろい,ノロ,ノロ
あやし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,あやしい,アヤシ,アヤシ
あたたか	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,あたたかい,アタタカ,アタタカ
暖か	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,暖かい,アタタカ,アタタカ
温か	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,温かい,アタタカ,アタタカ
新し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,新しい,アタラシ,アタラシ
美し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,美しい,ウツクシ,ウツクシ
せま	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,せまい,セマ,セマ
やす	形容詞,非自立,*,*,形容詞・アウオ段,基本形・縮約形,やすい,ヤス,ヤス
安	形容詞,非自立,*,*,形容詞・アウオ段,基本形・縮約形,安い,ヤス,ヤス
こわ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,こわい,コワ,コワ
怖	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,怖い,コワ,コワ
懐かし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,懐かしい,ナツカシ,ナツカシ
なつかし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,なつかしい,ナツカシ,ナツカシ
あつ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,あつい,アツ,アツ
かなし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,かなしい,カナシ,カナシ
悲し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,悲しい,カナシ,カナシ
ちっさ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ちっさい,チッサ,チッサ
やば	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,やばい,ヤバ,ヤバ
悲し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,悲しい,カナシ,カナシ
しつこ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,しつこい,シツコ,シツコ
むつかし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,むつかしい,ムツカシ,ムツカシ
やかまし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,やかましい,ヤカマシ,ヤカマシ
うるさ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,うるさい,ウルサ,ウルサ
ちっちゃ	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,ちっちゃい,チッチャ,チッチャ
おいし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,おいしい,オイシ,オイシ
美味し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,美味しい,オイシ,オイシ
うらやまし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,うらやましい,ウラヤマシ,ウラヤマシ
忙し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,忙しい,イソガシ,イソガシ
あったか	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,あったかい,アッタカ,アッタカ
うれし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,うれしい,ウレシ,ウレシ
めんど	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,めんどい,メンド,メンド
楽し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,楽しい,タノシ,タノシ
みじか	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,みじかい,ミジカ,ミジカ
わる	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,わるい,ワル,ワル
悪	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,悪い,ワル,ワル
久し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,久しい,ヒサシ,ヒサシ
おっき	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,おっきい,オッキ,オッキ
いとし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,いとしい,イトシ,イトシ
惜し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,惜しい,オシ,オシ
おとなし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,おとなしい,オトナシ,オトナシ
堅苦し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,堅苦しい,カタクルシ,カタクルシ
まず	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,まずい,マズ,マズ
やわらか	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,やわらかい,ヤワラカ,ヤワラカ
くるし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,くるしい,クルシ,クルシ
ちっちゃ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ちっちゃい,チッチャ,チッチャ
嬉し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,嬉しい,ウレシ,ウレシ
さみし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,さみしい,サミシ,サミシ
素晴らし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,素晴らしい,スバラシ,スバラシ
いかめし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,いかめしい,イカメシ,イカメシ
激し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,激しい,ハゲシ,ハゲシ
厚かまし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,厚かましい,アツカマシ,アツカマシ
かる	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,かるい,カル,カル
おも	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,おもい,オモ,オモ
わか	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,わかい,ワカ,ワカ
おそ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,おそい,オソ,オソ
冷た	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,冷たい,ツメタ,ツメタ
しぶ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,しぶい,シブ,シブ
おかし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,おかしい,オカシ,オカシ
ごつ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ごつい,ゴツ,ゴツ
たのし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,たのしい,タノシ,タノシ
はや	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,はやい,ハヤ,ハヤ
細かし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,細かしい,コマカシ,コマカシ
まずし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,まずしい,マズシ,マズシ
ちいさ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ちいさい,チイサ,チーサ
煩わし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,煩わしい,ワズラワシ,ワズラワシ
いやし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,いやしい,イヤシ,イヤシ
くさ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,くさい,クサ,クサ
ひろ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ひろい,ヒロ,ヒロ
かわい	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,かわいい,カワイ,カワイ
おもしろ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,おもしろい,オモシロ,オモシロ
むずかし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,むずかしい,ムズカシ,ムズカシ
難し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,難しい,ムズカシ,ムズカシ
つよ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,つよい,ツヨ,ツヨ
まぶし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,まぶしい,マブシ,マブシ
ただし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,ただしい,タダシ,タダシ
恐ろし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,恐ろしい,オソロシ,オソロシ
珍し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,珍しい,メズラシ,メズラシ
正し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,正しい,タダシ,タダシ
気まず	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,気まずい,キマズ,キマズ
おもろ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,おもろい,オモロ,オモロ
たか	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,たかい,タカ,タカ
高	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,高い,タカ,タカ
ぼろ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ぼろい,ボロ,ボロ
大き	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,大きい,オオキ,オーキ
細か	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,細かい,コマカ,コマカ
すばらし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,すばらしい,スバラシ,スバラシ
ぬる	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ぬるい,ヌル,ヌル
あぶな	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,あぶない,アブナ,アブナ
親し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,親しい,シタシ,シタシ
厳し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,厳しい,キビシ,キビシ
美味し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,美味しい,オイシ,オイシ
息苦し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,息苦しい,イキグルシ,イキグルシ
くやし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,くやしい,クヤシ,クヤシ
ずる	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ずるい,ズル,ズル
何気な	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,何気ない,ナニゲナ,ナニゲナ
すっご	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,すっごい,スッゴ,スッゴ
すご	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,すごい,スゴ,スゴ
でっか	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,でっかい,デッカ,デッカ
温か	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,温かい,アタタカ,アタタカ
うっとうし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,うっとうしい,ウットウシ,ウットーシ
はげし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,はげしい,ハゲシ,ハゲシ
つめた	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,つめたい,ツメタ,ツメタ
おっき	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,おっきい,オッキ,オッキ
よわ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,よわい,ヨワ,ヨワ
可愛らし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,可愛らしい,カワイラシ,カワイラシ
にが	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,にがい,ニガ,ニガ
愛らし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,愛らしい,アイラシ,アイラシ
だる	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,だるい,ダル,ダル
羨まし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,羨ましい,ウラヤマシ,ウラヤマシ
でか	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,でかい,デカ,デカ
ものすご	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ものすごい,モノスゴ,モノスゴ
寂し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,寂しい,サミシ,サミシ
かしこ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,かしこい,カシコ,カシコ
ばっち	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,ばっちい,バッチ,バッチ
図々し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,図々しい,ズウズウシ,ズーズーシ
やわ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,やわい,ヤワ,ヤワ
おおき	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,おおきい,オオキ,オーキ
苦し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,苦しい,クルシ,クルシ
あわ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,あわい,アワ,アワ
くだらな	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,くだらない,クダラナ,クダラナ
きよ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,きよい,キヨ,キヨ
酸っぱ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,酸っぱい,スッパ,スッパ
奥ゆかし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,奥ゆかしい,オクユカシ,オクユカシ
ひど	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ひどい,ヒド,ヒド
乏し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,乏しい,マズシ,マズシ
怪し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,怪しい,アヤシ,アヤシ
危な	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,危ない,アブナ,アブナ
ひさし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,ひさしい,ヒサシ,ヒサシ
うま	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,うまい,ウマ,ウマ
ややこし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,ややこしい,ヤヤコシ,ヤヤコシ
欲し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,欲しい,ホシ,ホシ
にぶ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,にぶい,ニブ,ニブ
やす	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,やすい,ヤス,ヤス
さむ	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,さむい,サム,サム
さびし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,さびしい,サビシ,サビシ
恥ずかし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,恥ずかしい,ハズカシ,ハズカシ
えら	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,えらい,エラ,エラ
長	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,長い,ナガ,ナガ
なが	形容詞,自立,*,*,形容詞・アウオ段,基本形・縮約形,ながい,ナガ,ナガ
くわし	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,くわしい,クワシ,クワシ
詳し	形容詞,自立,*,*,形容詞・イ段,基本形・縮約形,詳しい,クワシ,クワシ
