パッパー	副詞,一般,*,*,*,*,パッパー,パッパー,パッパー
チョロチョロット	副詞,一般,*,*,*,*,チョロチョロっと,チョロチョロット,チョロチョロット
パッパーテ	副詞,一般,*,*,*,*,パッパーて,パッパーテ,パッパーテ
ピッピッピッテ	副詞,一般,*,*,*,*,ピッピッピッて,ピッピッピッテ,ピッピッピッテ
ピッピッピー	副詞,一般,*,*,*,*,ピッピッピー,ピッピッピー,ピッピッピー
うわっ	副詞,一般,*,*,*,*,うわっ,ウワッ,ウワッ
うわって	副詞,一般,*,*,*,*,うわって,ウワッテ,ウワッテ
うわーって	副詞,一般,*,*,*,*,うわーって,ウワーッテ,ウワーッテ
うわっと	副詞,一般,*,*,*,*,うわっと,ウワット,ウワット
うわーっと	副詞,一般,*,*,*,*,うわーっと,ウワーット,ウワーット
ウワって	副詞,一般,*,*,*,*,ウワって,ウワッテ,ウワッテ
ウワーって	副詞,一般,*,*,*,*,ウワーって,ウワーッテ,ウワーッテ
ウワっと	副詞,一般,*,*,*,*,ウワっと,ウワット,ウワット
ウワーっと	副詞,一般,*,*,*,*,ウワーっと,ウワーット,ウワーット
ウワッて	副詞,一般,*,*,*,*,ウワッて,ウワッテ,ウワッテ
ウワーッて	副詞,一般,*,*,*,*,ウワーッて,ウワーッテ,ウワーッテ
ウワッと	副詞,一般,*,*,*,*,ウワッと,ウワット,ウワット
ウワーッと	副詞,一般,*,*,*,*,ウワーッと,ウワーット,ウワーット
うわうわ	副詞,一般,*,*,*,*,うわうわ,ウワウワ,ウワウワ
うわっうわ	副詞,一般,*,*,*,*,うわっうわ,ウワッウワ,ウワッウワ
ウワウワ	副詞,一般,*,*,*,*,ウワウワ,ウワウワ,ウワウワ
ウワッウワ	副詞,一般,*,*,*,*,ウワッウワ,ウワッウワ,ウワッウワ
うわうわ	副詞,一般,*,*,*,*,うわうわ,ウワウワ,ウワウワ
ウワウワッ	副詞,一般,*,*,*,*,ウワウワッ,ウワウワッ,ウワウワッ
うわっうわっ	副詞,一般,*,*,*,*,うわっうわっ,ウワッウワッ,ウワッウワッ
ウワッウワッ	副詞,一般,*,*,*,*,ウワッウワッ,ウワッウワッ,ウワッウワッ
うわうわって	副詞,一般,*,*,*,*,うわうわって,ウワウワッテ,ウワウワッテ
ウワウワッて	副詞,一般,*,*,*,*,ウワウワッて,ウワウワッテ,ウワウワッテ
うわっうわって	副詞,一般,*,*,*,*,うわっうわって,ウワッウワッテ,ウワッウワッテ
ウワッウワッて	副詞,一般,*,*,*,*,ウワッウワッて,ウワッウワッテ,ウワッウワッテ
うわうわっと	副詞,一般,*,*,*,*,うわうわっと,ウワウワット,ウワウワット
ウワウワッと	副詞,一般,*,*,*,*,ウワウワッと,ウワウワット,ウワウワット
うわっうわっと	副詞,一般,*,*,*,*,うわっうわっと,ウワッウワット,ウワッウワット
ウワッウワッと	副詞,一般,*,*,*,*,ウワッウワッと,ウワッウワット,ウワッウワット
うわー	副詞,一般,*,*,*,*,うわー,ウワー,ウワー
ウワー	副詞,一般,*,*,*,*,ウワー,ウワー,ウワー
きゃっ	副詞,一般,*,*,*,*,きゃっ,キャッ,キャッ
きゃって	副詞,一般,*,*,*,*,きゃって,キャッテ,キャッテ
きゃーって	副詞,一般,*,*,*,*,きゃーって,キャーッテ,キャーッテ
きゃっと	副詞,一般,*,*,*,*,きゃっと,キャット,キャット
きゃーっと	副詞,一般,*,*,*,*,きゃーっと,キャーット,キャーット
キャって	副詞,一般,*,*,*,*,キャって,キャッテ,キャッテ
キャーって	副詞,一般,*,*,*,*,キャーって,キャーッテ,キャーッテ
キャっと	副詞,一般,*,*,*,*,キャっと,キャット,キャット
キャーっと	副詞,一般,*,*,*,*,キャーっと,キャーット,キャーット
キャッて	副詞,一般,*,*,*,*,キャッて,キャッテ,キャッテ
キャーッて	副詞,一般,*,*,*,*,キャーッて,キャーッテ,キャーッテ
キャッと	副詞,一般,*,*,*,*,キャッと,キャット,キャット
キャーッと	副詞,一般,*,*,*,*,キャーッと,キャーット,キャーット
きゃきゃ	副詞,一般,*,*,*,*,きゃきゃ,キャキャ,キャキャ
きゃっきゃ	副詞,一般,*,*,*,*,きゃっきゃ,キャッキャ,キャッキャ
キャキャ	副詞,一般,*,*,*,*,キャキャ,キャキャ,キャキャ
キャッキャ	副詞,一般,*,*,*,*,キャッキャ,キャッキャ,キャッキャ
きゃきゃ	副詞,一般,*,*,*,*,きゃきゃ,キャキャ,キャキャ
キャキャッ	副詞,一般,*,*,*,*,キャキャッ,キャキャッ,キャキャッ
きゃっきゃっ	副詞,一般,*,*,*,*,きゃっきゃっ,キャッキャッ,キャッキャッ
キャッキャッ	副詞,一般,*,*,*,*,キャッキャッ,キャッキャッ,キャッキャッ
きゃきゃって	副詞,一般,*,*,*,*,きゃきゃって,キャキャッテ,キャキャッテ
キャキャッて	副詞,一般,*,*,*,*,キャキャッて,キャキャッテ,キャキャッテ
きゃっきゃって	副詞,一般,*,*,*,*,きゃっきゃって,キャッキャッテ,キャッキャッテ
キャッキャッて	副詞,一般,*,*,*,*,キャッキャッて,キャッキャッテ,キャッキャッテ
きゃきゃっと	副詞,一般,*,*,*,*,きゃきゃっと,キャキャット,キャキャット
キャキャッと	副詞,一般,*,*,*,*,キャキャッと,キャキャット,キャキャット
きゃっきゃっと	副詞,一般,*,*,*,*,きゃっきゃっと,キャッキャット,キャッキャット
キャッキャッと	副詞,一般,*,*,*,*,キャッキャッと,キャッキャット,キャッキャット
きゃー	副詞,一般,*,*,*,*,きゃー,キャー,キャー
キャー	副詞,一般,*,*,*,*,キャー,キャー,キャー
ごじゃっ	副詞,一般,*,*,*,*,ごじゃっ,ゴジャッ,ゴジャッ
ごじゃって	副詞,一般,*,*,*,*,ごじゃって,ゴジャッテ,ゴジャッテ
ごじゃーって	副詞,一般,*,*,*,*,ごじゃーって,ゴジャーッテ,ゴジャーッテ
ごじゃっと	副詞,一般,*,*,*,*,ごじゃっと,ゴジャット,ゴジャット
ごじゃーっと	副詞,一般,*,*,*,*,ごじゃーっと,ゴジャーット,ゴジャーット
ゴジャって	副詞,一般,*,*,*,*,ゴジャって,ゴジャッテ,ゴジャッテ
ゴジャーって	副詞,一般,*,*,*,*,ゴジャーって,ゴジャーッテ,ゴジャーッテ
ゴジャっと	副詞,一般,*,*,*,*,ゴジャっと,ゴジャット,ゴジャット
ゴジャーっと	副詞,一般,*,*,*,*,ゴジャーっと,ゴジャーット,ゴジャーット
ゴジャッて	副詞,一般,*,*,*,*,ゴジャッて,ゴジャッテ,ゴジャッテ
ゴジャーッて	副詞,一般,*,*,*,*,ゴジャーッて,ゴジャーッテ,ゴジャーッテ
ゴジャッと	副詞,一般,*,*,*,*,ゴジャッと,ゴジャット,ゴジャット
ゴジャーッと	副詞,一般,*,*,*,*,ゴジャーッと,ゴジャーット,ゴジャーット
ごじゃごじゃ	副詞,一般,*,*,*,*,ごじゃごじゃ,ゴジャゴジャ,ゴジャゴジャ
ごじゃっごじゃ	副詞,一般,*,*,*,*,ごじゃっごじゃ,ゴジャッゴジャ,ゴジャッゴジャ
ゴジャゴジャ	副詞,一般,*,*,*,*,ゴジャゴジャ,ゴジャゴジャ,ゴジャゴジャ
ゴジャッゴジャ	副詞,一般,*,*,*,*,ゴジャッゴジャ,ゴジャッゴジャ,ゴジャッゴジャ
ごじゃごじゃ	副詞,一般,*,*,*,*,ごじゃごじゃ,ゴジャゴジャ,ゴジャゴジャ
ゴジャゴジャッ	副詞,一般,*,*,*,*,ゴジャゴジャッ,ゴジャゴジャッ,ゴジャゴジャッ
ごじゃっごじゃっ	副詞,一般,*,*,*,*,ごじゃっごじゃっ,ゴジャッゴジャッ,ゴジャッゴジャッ
ゴジャッゴジャッ	副詞,一般,*,*,*,*,ゴジャッゴジャッ,ゴジャッゴジャッ,ゴジャッゴジャッ
ごじゃごじゃって	副詞,一般,*,*,*,*,ごじゃごじゃって,ゴジャゴジャッテ,ゴジャゴジャッテ
ゴジャゴジャッて	副詞,一般,*,*,*,*,ゴジャゴジャッて,ゴジャゴジャッテ,ゴジャゴジャッテ
ごじゃっごじゃって	副詞,一般,*,*,*,*,ごじゃっごじゃって,ゴジャッゴジャッテ,ゴジャッゴジャッテ
ゴジャッゴジャッて	副詞,一般,*,*,*,*,ゴジャッゴジャッて,ゴジャッゴジャッテ,ゴジャッゴジャッテ
ごじゃごじゃっと	副詞,一般,*,*,*,*,ごじゃごじゃっと,ゴジャゴジャット,ゴジャゴジャット
ゴジャゴジャッと	副詞,一般,*,*,*,*,ゴジャゴジャッと,ゴジャゴジャット,ゴジャゴジャット
ごじゃっごじゃっと	副詞,一般,*,*,*,*,ごじゃっごじゃっと,ゴジャッゴジャット,ゴジャッゴジャット
ゴジャッゴジャッと	副詞,一般,*,*,*,*,ゴジャッゴジャッと,ゴジャッゴジャット,ゴジャッゴジャット
ごじゃー	副詞,一般,*,*,*,*,ごじゃー,ゴジャー,ゴジャー
ゴジャー	副詞,一般,*,*,*,*,ゴジャー,ゴジャー,ゴジャー
はっ	副詞,一般,*,*,*,*,はっ,ハッ,ハッ
はって	副詞,一般,*,*,*,*,はって,ハッテ,ハッテ
はーって	副詞,一般,*,*,*,*,はーって,ハーッテ,ハーッテ
はっと	副詞,一般,*,*,*,*,はっと,ハット,ハット
はーっと	副詞,一般,*,*,*,*,はーっと,ハーット,ハーット
ハって	副詞,一般,*,*,*,*,ハって,ハッテ,ハッテ
ハーって	副詞,一般,*,*,*,*,ハーって,ハーッテ,ハーッテ
ハっと	副詞,一般,*,*,*,*,ハっと,ハット,ハット
ハーっと	副詞,一般,*,*,*,*,ハーっと,ハーット,ハーット
ハッて	副詞,一般,*,*,*,*,ハッて,ハッテ,ハッテ
ハーッて	副詞,一般,*,*,*,*,ハーッて,ハーッテ,ハーッテ
ハッと	副詞,一般,*,*,*,*,ハッと,ハット,ハット
ハーッと	副詞,一般,*,*,*,*,ハーッと,ハーット,ハーット
はは	副詞,一般,*,*,*,*,はは,ハハ,ハハ
はっは	副詞,一般,*,*,*,*,はっは,ハッハ,ハッハ
ハハ	副詞,一般,*,*,*,*,ハハ,ハハ,ハハ
ハッハ	副詞,一般,*,*,*,*,ハッハ,ハッハ,ハッハ
はは	副詞,一般,*,*,*,*,はは,ハハ,ハハ
ハハッ	副詞,一般,*,*,*,*,ハハッ,ハハッ,ハハッ
はっはっ	副詞,一般,*,*,*,*,はっはっ,ハッハッ,ハッハッ
ハッハッ	副詞,一般,*,*,*,*,ハッハッ,ハッハッ,ハッハッ
ははって	副詞,一般,*,*,*,*,ははって,ハハッテ,ハハッテ
ハハッて	副詞,一般,*,*,*,*,ハハッて,ハハッテ,ハハッテ
はっはって	副詞,一般,*,*,*,*,はっはって,ハッハッテ,ハッハッテ
ハッハッて	副詞,一般,*,*,*,*,ハッハッて,ハッハッテ,ハッハッテ
ははっと	副詞,一般,*,*,*,*,ははっと,ハハット,ハハット
ハハッと	副詞,一般,*,*,*,*,ハハッと,ハハット,ハハット
はっはっと	副詞,一般,*,*,*,*,はっはっと,ハッハット,ハッハット
ハッハッと	副詞,一般,*,*,*,*,ハッハッと,ハッハット,ハッハット
はー	副詞,一般,*,*,*,*,はー,ハー,ハー
ハー	副詞,一般,*,*,*,*,ハー,ハー,ハー
ひっ	副詞,一般,*,*,*,*,ひっ,ヒッ,ヒッ
ひって	副詞,一般,*,*,*,*,ひって,ヒッテ,ヒッテ
ひーって	副詞,一般,*,*,*,*,ひーって,ヒーッテ,ヒーッテ
ひっと	副詞,一般,*,*,*,*,ひっと,ヒット,ヒット
ひーっと	副詞,一般,*,*,*,*,ひーっと,ヒーット,ヒーット
ヒって	副詞,一般,*,*,*,*,ヒって,ヒッテ,ヒッテ
ヒーって	副詞,一般,*,*,*,*,ヒーって,ヒーッテ,ヒーッテ
ヒっと	副詞,一般,*,*,*,*,ヒっと,ヒット,ヒット
ヒーっと	副詞,一般,*,*,*,*,ヒーっと,ヒーット,ヒーット
ヒッて	副詞,一般,*,*,*,*,ヒッて,ヒッテ,ヒッテ
ヒーッて	副詞,一般,*,*,*,*,ヒーッて,ヒーッテ,ヒーッテ
ヒッと	副詞,一般,*,*,*,*,ヒッと,ヒット,ヒット
ヒーッと	副詞,一般,*,*,*,*,ヒーッと,ヒーット,ヒーット
ひひ	副詞,一般,*,*,*,*,ひひ,ヒヒ,ヒヒ
ひっひ	副詞,一般,*,*,*,*,ひっひ,ヒッヒ,ヒッヒ
ヒヒ	副詞,一般,*,*,*,*,ヒヒ,ヒヒ,ヒヒ
ヒッヒ	副詞,一般,*,*,*,*,ヒッヒ,ヒッヒ,ヒッヒ
ひひ	副詞,一般,*,*,*,*,ひひ,ヒヒ,ヒヒ
ヒヒッ	副詞,一般,*,*,*,*,ヒヒッ,ヒヒッ,ヒヒッ
ひっひっ	副詞,一般,*,*,*,*,ひっひっ,ヒッヒッ,ヒッヒッ
ヒッヒッ	副詞,一般,*,*,*,*,ヒッヒッ,ヒッヒッ,ヒッヒッ
ひひって	副詞,一般,*,*,*,*,ひひって,ヒヒッテ,ヒヒッテ
ヒヒッて	副詞,一般,*,*,*,*,ヒヒッて,ヒヒッテ,ヒヒッテ
ひっひって	副詞,一般,*,*,*,*,ひっひって,ヒッヒッテ,ヒッヒッテ
ヒッヒッて	副詞,一般,*,*,*,*,ヒッヒッて,ヒッヒッテ,ヒッヒッテ
ひひっと	副詞,一般,*,*,*,*,ひひっと,ヒヒット,ヒヒット
ヒヒッと	副詞,一般,*,*,*,*,ヒヒッと,ヒヒット,ヒヒット
ひっひっと	副詞,一般,*,*,*,*,ひっひっと,ヒッヒット,ヒッヒット
ヒッヒッと	副詞,一般,*,*,*,*,ヒッヒッと,ヒッヒット,ヒッヒット
ひー	副詞,一般,*,*,*,*,ひー,ヒー,ヒー
ヒー	副詞,一般,*,*,*,*,ヒー,ヒー,ヒー
ふっ	副詞,一般,*,*,*,*,ふっ,フッ,フッ
ふって	副詞,一般,*,*,*,*,ふって,フッテ,フッテ
ふーって	副詞,一般,*,*,*,*,ふーって,フーッテ,フーッテ
ふっと	副詞,一般,*,*,*,*,ふっと,フット,フット
ふーっと	副詞,一般,*,*,*,*,ふーっと,フーット,フーット
フって	副詞,一般,*,*,*,*,フって,フッテ,フッテ
フーって	副詞,一般,*,*,*,*,フーって,フーッテ,フーッテ
フっと	副詞,一般,*,*,*,*,フっと,フット,フット
フーっと	副詞,一般,*,*,*,*,フーっと,フーット,フーット
フッて	副詞,一般,*,*,*,*,フッて,フッテ,フッテ
フーッて	副詞,一般,*,*,*,*,フーッて,フーッテ,フーッテ
フッと	副詞,一般,*,*,*,*,フッと,フット,フット
フーッと	副詞,一般,*,*,*,*,フーッと,フーット,フーット
ふふ	副詞,一般,*,*,*,*,ふふ,フフ,フフ
ふっふ	副詞,一般,*,*,*,*,ふっふ,フッフ,フッフ
フフ	副詞,一般,*,*,*,*,フフ,フフ,フフ
フッフ	副詞,一般,*,*,*,*,フッフ,フッフ,フッフ
ふふ	副詞,一般,*,*,*,*,ふふ,フフ,フフ
フフッ	副詞,一般,*,*,*,*,フフッ,フフッ,フフッ
ふっふっ	副詞,一般,*,*,*,*,ふっふっ,フッフッ,フッフッ
フッフッ	副詞,一般,*,*,*,*,フッフッ,フッフッ,フッフッ
ふふって	副詞,一般,*,*,*,*,ふふって,フフッテ,フフッテ
フフッて	副詞,一般,*,*,*,*,フフッて,フフッテ,フフッテ
ふっふって	副詞,一般,*,*,*,*,ふっふって,フッフッテ,フッフッテ
フッフッて	副詞,一般,*,*,*,*,フッフッて,フッフッテ,フッフッテ
ふふっと	副詞,一般,*,*,*,*,ふふっと,フフット,フフット
フフッと	副詞,一般,*,*,*,*,フフッと,フフット,フフット
ふっふっと	副詞,一般,*,*,*,*,ふっふっと,フッフット,フッフット
フッフッと	副詞,一般,*,*,*,*,フッフッと,フッフット,フッフット
ふー	副詞,一般,*,*,*,*,ふー,フー,フー
フー	副詞,一般,*,*,*,*,フー,フー,フー
へっ	副詞,一般,*,*,*,*,へっ,ヘッ,ヘッ
へって	副詞,一般,*,*,*,*,へって,ヘッテ,ヘッテ
へーって	副詞,一般,*,*,*,*,へーって,ヘーッテ,ヘーッテ
へっと	副詞,一般,*,*,*,*,へっと,ヘット,ヘット
へーっと	副詞,一般,*,*,*,*,へーっと,ヘーット,ヘーット
ヘって	副詞,一般,*,*,*,*,ヘって,ヘッテ,ヘッテ
ヘーって	副詞,一般,*,*,*,*,ヘーって,ヘーッテ,ヘーッテ
ヘっと	副詞,一般,*,*,*,*,ヘっと,ヘット,ヘット
ヘーっと	副詞,一般,*,*,*,*,ヘーっと,ヘーット,ヘーット
ヘッて	副詞,一般,*,*,*,*,ヘッて,ヘッテ,ヘッテ
ヘーッて	副詞,一般,*,*,*,*,ヘーッて,ヘーッテ,ヘーッテ
ヘッと	副詞,一般,*,*,*,*,ヘッと,ヘット,ヘット
ヘーッと	副詞,一般,*,*,*,*,ヘーッと,ヘーット,ヘーット
へへ	副詞,一般,*,*,*,*,へへ,ヘヘ,ヘヘ
へっへ	副詞,一般,*,*,*,*,へっへ,ヘッヘ,ヘッヘ
ヘヘ	副詞,一般,*,*,*,*,ヘヘ,ヘヘ,ヘヘ
ヘッヘ	副詞,一般,*,*,*,*,ヘッヘ,ヘッヘ,ヘッヘ
へへ	副詞,一般,*,*,*,*,へへ,ヘヘ,ヘヘ
ヘヘッ	副詞,一般,*,*,*,*,ヘヘッ,ヘヘッ,ヘヘッ
へっへっ	副詞,一般,*,*,*,*,へっへっ,ヘッヘッ,ヘッヘッ
ヘッヘッ	副詞,一般,*,*,*,*,ヘッヘッ,ヘッヘッ,ヘッヘッ
へへって	副詞,一般,*,*,*,*,へへって,ヘヘッテ,ヘヘッテ
ヘヘッて	副詞,一般,*,*,*,*,ヘヘッて,ヘヘッテ,ヘヘッテ
へっへって	副詞,一般,*,*,*,*,へっへって,ヘッヘッテ,ヘッヘッテ
ヘッヘッて	副詞,一般,*,*,*,*,ヘッヘッて,ヘッヘッテ,ヘッヘッテ
へへっと	副詞,一般,*,*,*,*,へへっと,ヘヘット,ヘヘット
ヘヘッと	副詞,一般,*,*,*,*,ヘヘッと,ヘヘット,ヘヘット
へっへっと	副詞,一般,*,*,*,*,へっへっと,ヘッヘット,ヘッヘット
ヘッヘッと	副詞,一般,*,*,*,*,ヘッヘッと,ヘッヘット,ヘッヘット
へー	副詞,一般,*,*,*,*,へー,ヘー,ヘー
ヘー	副詞,一般,*,*,*,*,ヘー,ヘー,ヘー
ほっ	副詞,一般,*,*,*,*,ほっ,ホッ,ホッ
ほって	副詞,一般,*,*,*,*,ほって,ホッテ,ホッテ
ほーって	副詞,一般,*,*,*,*,ほーって,ホーッテ,ホーッテ
ほっと	副詞,一般,*,*,*,*,ほっと,ホット,ホット
ほーっと	副詞,一般,*,*,*,*,ほーっと,ホーット,ホーット
ホって	副詞,一般,*,*,*,*,ホって,ホッテ,ホッテ
ホーって	副詞,一般,*,*,*,*,ホーって,ホーッテ,ホーッテ
ホっと	副詞,一般,*,*,*,*,ホっと,ホット,ホット
ホーっと	副詞,一般,*,*,*,*,ホーっと,ホーット,ホーット
ホッて	副詞,一般,*,*,*,*,ホッて,ホッテ,ホッテ
ホーッて	副詞,一般,*,*,*,*,ホーッて,ホーッテ,ホーッテ
ホッと	副詞,一般,*,*,*,*,ホッと,ホット,ホット
ホーッと	副詞,一般,*,*,*,*,ホーッと,ホーット,ホーット
ほほ	副詞,一般,*,*,*,*,ほほ,ホホ,ホホ
ほっほ	副詞,一般,*,*,*,*,ほっほ,ホッホ,ホッホ
ホホ	副詞,一般,*,*,*,*,ホホ,ホホ,ホホ
ホッホ	副詞,一般,*,*,*,*,ホッホ,ホッホ,ホッホ
ほほ	副詞,一般,*,*,*,*,ほほ,ホホ,ホホ
ホホッ	副詞,一般,*,*,*,*,ホホッ,ホホッ,ホホッ
ほっほっ	副詞,一般,*,*,*,*,ほっほっ,ホッホッ,ホッホッ
ホッホッ	副詞,一般,*,*,*,*,ホッホッ,ホッホッ,ホッホッ
ほほって	副詞,一般,*,*,*,*,ほほって,ホホッテ,ホホッテ
ホホッて	副詞,一般,*,*,*,*,ホホッて,ホホッテ,ホホッテ
ほっほって	副詞,一般,*,*,*,*,ほっほって,ホッホッテ,ホッホッテ
ホッホッて	副詞,一般,*,*,*,*,ホッホッて,ホッホッテ,ホッホッテ
ほほっと	副詞,一般,*,*,*,*,ほほっと,ホホット,ホホット
ホホッと	副詞,一般,*,*,*,*,ホホッと,ホホット,ホホット
ほっほっと	副詞,一般,*,*,*,*,ほっほっと,ホッホット,ホッホット
ホッホッと	副詞,一般,*,*,*,*,ホッホッと,ホッホット,ホッホット
ほー	副詞,一般,*,*,*,*,ほー,ホー,ホー
ホー	副詞,一般,*,*,*,*,ホー,ホー,ホー
ばっ	副詞,一般,*,*,*,*,ばっ,バッ,バッ
ばって	副詞,一般,*,*,*,*,ばって,バッテ,バッテ
ばーって	副詞,一般,*,*,*,*,ばーって,バーッテ,バーッテ
ばっと	副詞,一般,*,*,*,*,ばっと,バット,バット
ばーっと	副詞,一般,*,*,*,*,ばーっと,バーット,バーット
バって	副詞,一般,*,*,*,*,バって,バッテ,バッテ
バーって	副詞,一般,*,*,*,*,バーって,バーッテ,バーッテ
バっと	副詞,一般,*,*,*,*,バっと,バット,バット
バーっと	副詞,一般,*,*,*,*,バーっと,バーット,バーット
バッて	副詞,一般,*,*,*,*,バッて,バッテ,バッテ
バーッて	副詞,一般,*,*,*,*,バーッて,バーッテ,バーッテ
バッと	副詞,一般,*,*,*,*,バッと,バット,バット
バーッと	副詞,一般,*,*,*,*,バーッと,バーット,バーット
ばば	副詞,一般,*,*,*,*,ばば,ババ,ババ
ばっば	副詞,一般,*,*,*,*,ばっば,バッバ,バッバ
ババ	副詞,一般,*,*,*,*,ババ,ババ,ババ
バッバ	副詞,一般,*,*,*,*,バッバ,バッバ,バッバ
ばば	副詞,一般,*,*,*,*,ばば,ババ,ババ
ババッ	副詞,一般,*,*,*,*,ババッ,ババッ,ババッ
ばっばっ	副詞,一般,*,*,*,*,ばっばっ,バッバッ,バッバッ
バッバッ	副詞,一般,*,*,*,*,バッバッ,バッバッ,バッバッ
ばばって	副詞,一般,*,*,*,*,ばばって,ババッテ,ババッテ
ババッて	副詞,一般,*,*,*,*,ババッて,ババッテ,ババッテ
ばっばって	副詞,一般,*,*,*,*,ばっばって,バッバッテ,バッバッテ
バッバッて	副詞,一般,*,*,*,*,バッバッて,バッバッテ,バッバッテ
ばばっと	副詞,一般,*,*,*,*,ばばっと,ババット,ババット
ババッと	副詞,一般,*,*,*,*,ババッと,ババット,ババット
ばっばっと	副詞,一般,*,*,*,*,ばっばっと,バッバット,バッバット
バッバッと	副詞,一般,*,*,*,*,バッバッと,バッバット,バッバット
ばー	副詞,一般,*,*,*,*,ばー,バー,バー
バー	副詞,一般,*,*,*,*,バー,バー,バー
びっ	副詞,一般,*,*,*,*,びっ,ビッ,ビッ
びって	副詞,一般,*,*,*,*,びって,ビッテ,ビッテ
びーって	副詞,一般,*,*,*,*,びーって,ビーッテ,ビーッテ
びっと	副詞,一般,*,*,*,*,びっと,ビット,ビット
びーっと	副詞,一般,*,*,*,*,びーっと,ビーット,ビーット
ビって	副詞,一般,*,*,*,*,ビって,ビッテ,ビッテ
ビーって	副詞,一般,*,*,*,*,ビーって,ビーッテ,ビーッテ
ビっと	副詞,一般,*,*,*,*,ビっと,ビット,ビット
